OBJECTID;Perimetro;Area;CantidadConstrucciones;Area_int;X_MAGNAMED;Y_MAGNAMED;CS_TF;EQ_TF;H_TF;PP_TF;PC_TF;PP_TF;TR_TF;UR_TF;ValorM2;ZP_TF;R_TF;C_AvaluoLote;C_AvaluoConstruccion;C_AvaluoTotal
297212;160.3152504;1493.665265;0;1487;839181.4027;1177418.354;0;1;0;1;1;1;0;1;15651;1;1;12999000;0;12999000
297210;241.4427235;1083.100346;0;1084;839167.7098;1177401.157;0;1;0;1;1;1;0;1;15651;1;1;9505000;0;9505000
162469;501.3441571;10125.71396;0;10125;839225.0577;1177468.719;0;1;0;1;1;1;0;1;15651;1;1;87897000;0;87897000
297217;313.2705281;5692.998324;0;5692;839166.0062;1177543.767;0;1;0;1;1;1;0;1;15651;1;1;49459000;83262000;132721000
297216;144.2144389;273.8707257;0;274;839890.5728;1177965.313;0;1;0;1;1;1;0;1;15651;1;1;2411000;0;2411000
161266;203.9119223;2497.398492;0;2497;839885.2096;1177942.463;0;1;0;1;1;1;0;1;15651;1;1;21753000;12622000;34375000
163931;238.690964;3200.525985;0;3200;839894.4073;1177882.305;0;1;0;1;1;1;0;1;15651;1;1;27124000;0;27124000
298164;278.9133051;1624.203554;0;1624;840010.1852;1177929.265;0;1;1;1;1;1;0;1;15651;0;1;14182000;9109000;23291000
283475;79.93888467;398.4831257;0;398;839585.7946;1177714.69;1;1;0;1;1;1;1;1;15651;0;1;1778000;0;1778000
161875;655.4110978;1161.217168;0;1160;839157.4925;1177767.98;0;1;0;1;1;1;0;1;15651;1;1;12687000;0;12687000
295820;591.7620886;2085.669484;0;2085;839119.4417;1177567.871;1;1;0;1;1;1;0;1;15651;0;1;18161000;0;18161000
281389;455.0267935;8680.319716;0;8680;839259.5268;1177799.974;1;1;0;1;1;1;0;1;15651;1;1;22606000;0;22606000
